"id","artwork_title","start_year","end_year","Esfera","Caixa","Argolas","Trilho","Taça","Taça_quebrada","Desenho/Fotografia","Cachimbo","Tabela_astronômica","Palavras","Caixa_dentro_da_caixa","Pássaro","Concha","Pedaços_de_madeira","Colagem","Espiral","Gradil/Compartimentação","Gaveta","Relógio/Bússola","Hotel","Areia","Pilar","Grade_de_arame","Médici","Frascos","Dispensador_de_areia","Boneca","Cubos_de_vidro","Folhas/pétalas"
98,"""Yellow_Chamber,_1950/51",1950,1950,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,
99,"Caravaggio_Prince_Medici_Slot_Machine_Variant",1950,1950,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
100,"""Untitled_(Sun_Box),_c._1955",1950,1953,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
101,"Untitled",1950,1950,1,1,1,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,
102,"Penny_Arcade_Machine",1950,1950,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
103,"untitled_(yellow_sand_tray,_sun_and_planets_images)",1950,1950,1,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,
104,"""Untitled_(Yellow_Sand_Fountain),_early_1950s",1950,1950,,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,
105,"""Untitled_(Blue_Sand_Box),_early_1950s",1950,1950,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
106,"""Dovecote_(Colombier),_1950",1950,1950,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
107,"Planet_Set,_Tête_Etoilée,_Giuditta_Pasta_(dédicace)",1950,1950,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
108,"Sandbox",1950,1950,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
109,"Boulangerie_Viennoise_(Vienna_Bread_Bakery)",1950,1950,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
110,"Untitled_(Hotel_de_l'Etoile)_(Primary_Title)_Shadow_box_(Object_Name)",1951,1951,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
111,"Grand_Hotel_Bon_Port",1952,1962,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,
112,"Untitled_(Hotel_du_Chariot_d’Or)",1952,1952,1,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
113,"Untitled_[Yellow_Sand_Tray_with_Starfish]",1952,1952,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
114,"Untitled_(Medici_Prince)",1952,1953,,1,1,,,,1,,,,,,,,1,,,,,,,,,1,,,,,
115,"""Untitled_(Soap_Bubble_Set),_c._1957",1952,1952,1,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,
116,"Untitled_(Pharmacy)",1952,1952,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,
117,"Dovecote",1952,1952,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
118,"Hotel_du_Nord",1953,1953,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,
119,"Untitled_(For_Sheree_North)",1953,1953,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
120,"Homage_to_Juan_Gris",1953,1954,1,1,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,,
121,"Untitled_(Palais_de_Cristal)",1953,1954,,1,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,
122,"Variétés_Apollinaris",1953,1959,1,1,1,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,
123,"Untitled_(Medici_Prince)",1953,1953,1,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
124,"A_Parrot_for_Juan_Gris",1953,1954,1,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,
125,"""Pavilion,_1953",1953,1953,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
126,"Andromeda_(Sand_Fountain)",1953,1953,,1,,,,1,1,,,,,,,,,,,,,,1,,,,,1,,,
127,"Hotel_Dominici",1953,1956,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
128,"Cacatúa_Juan_Gris_n.º_4",1953,1953,1,1,1,,,,1,,,,,1,,,1,,,1,,,,,,,,,,,
129,"Untitled_(Hotel_Beau-Séjour)",1954,1954,1,1,1,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,
130,"Andromeda:_Grand_Hôtel_de_l’Observatoire",1954,1954,,1,,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,
131,"Discarded_Descartes",1954,1954,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
132,"Grand_Hotel_de_la_Boule_d'Or_[Apollinaris]",1954,1954,,1,1,1,,,1,,,1,,,,,,,1,,,,,,,,,,,,
133,"Untitled_(Hotel)_Box",1954,1954,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
134,"Observatory_American_Gothic",1954,1956,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
135,"Starfish",1954,1954,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
136,"Midnight_Carrousel",1954,1954,,1,1,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,
137,"Untitled_(Compartmented_Box)",1954,1956,1,1,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,
138,"Untitled_(Système_de_Descartes)",1954,1954,1,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,
139,"""Untitled_(Hôtel_de_l’Etoile),_1954",1954,1954,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
140,"""Ann-In_Memory,_October_8,_1954",1954,1954,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
141,"Untitled_(Grand_Hotel_Bon_Port_Ostend_Hotel)",1954,1954,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,
142,"Chardonneret_de_Ronsard_(bird_habitat,_amber_glass)",1955,1965,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
143,"Untitled_(Medici_Princess)",1955,1955,1,1,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,
144,"Hotel_de_Hollande",1955,1955,,1,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,,
145,"Untitled_(Rattle_and_Music_Box)",1955,1955,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
146,"""The_Eagle,_the_Arrow,_and_the_Dolphin,_c._1960",1955,1955,1,1,1,1,,,1,,1,,,,,,,,,,,,1,,,,,,,,
147,"L’Humeur_Vagabonde_(Restless_Mood)",1955,1955,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
148,"Untitled_(Ligne_Ostende-Douvres)",1956,1956,1,1,,1,,,1,,,1,,1,,1,,,,,,,,,,,,,,,
149,"Il_Signe_Sole_for_Oswaldo_La_Strada_(Primary_Title)_Shadow_box_(Object_Name)",1956,1956,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
150,"Untitled_(Celestial_Navigation_Night_Version)",1956,1958,1,1,,1,1,,1,,1,,,,,,,,,1,,,,,,,,,,,
151,"""Untitled_(Homage_to_Blériot),_1956",1956,1957,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
152,"Untitled_(sun_face)",1957,1957,1,1,1,1,1,,1,,,,,,1,1,,,,,,,,,,,,,,,
153,"“Ideals_are_like_stars;_you_will_not_succeed_in_touching_them_with_your_hands._But_like_the_seafaring_man_on_the_desert_of_waters,_you_choose_them_as_your_guides,_and_following_them_you_will_reach_your_destiny.” – Carl_Schurz,_Address,_Faneuil_Hall,_Boston,_April_18,_1859._From_the_series_Great_Ideas_of_Western_Man.",1957,1957,,1,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,
