"id_doc","type","name","place","date","link"
782,"Photography","Francis Picabia, Germaine Everling, Jean Crotti, et Suzanne Duchamp devant une voiture lors d'un voyage à la chapelle Notre-Dame-de-Vie","Duchamp Archives","1925/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.158"
783,"Photography","Group at Yves Tanguy's House in Woodbury, Connecticut","Duchamp Archives","1948/May/-","https://www.duchamparchives.org/pma/archive/component/MDP_B030_F035_13-1972-9-168"
784,"Photography","Francis Picabia, Jean Crotti, et Suzanne Duchamp assis en extérieur","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.152"
785,"Photography","Francis Picabia, Suzanne Duchamp, et Germaine Everling au bord de la mer","Duchamp Archives","1919/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.118"
786,"Others","Inventory of the Arensberg Collection compiled by Katharine Kuh","Duchamp Archives","1948/-/-","https://www.duchamparchives.org/pma/archive/component/FKR_B181_F003_016"
787,"Photography","Francis Picabia, Suzanne Duchamp, les Mirande, et Mme MacHenry attablés dans un jardin","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.094"
788,"Photography","Gaby Villon et Suzanne Duchamp à la plage","Duchamp Archives","1922/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.123"
789,"Others","Invoice from Leo Castelli to Anne d'Harnoncourt","Duchamp Archives","1973/August/1","https://www.duchamparchives.org/pma/archive/component/EDR_B002_F014_003"
790,"Letter","Incomplete correspondence from Anne d'Harnoncourt to Beatrice Wood","Duchamp Archives","1973/-/-","https://www.duchamparchives.org/pma/archive/component/MDE_B002_F053_023"
791,"Photography","Gaby Villon, Jacques Villon, et Jean Crotti avec un chien sous le marronnier de Puteaux","Duchamp Archives","1933/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD2_no.229"
792,"Photography","Gaston Duchamp, Lucie Duchamp avec Yvonne, Clémence Lebourg, Eugène Duchamp, Raymond Duchamp, Catherine ""Ketty"" Guilbert, Catherine Duchamp, Marcel Duchamp, Fortuné Guilbert, Suzanne Duchamp","Duchamp Archives","//","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits1_no.004"
793,"Photography","Fortuné Guilbert et Marcel Duchamp","Duchamp Archives","1900/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits1_no.010"
794,"Photography","Francis Picabia, Suzanne Duchamp, et Germaine Everling et une personne non identifiée","Duchamp Archives","1924/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.148"
795,"Photography","Francis Picabia, Germaine Everling, et Christian","Duchamp Archives","1921/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.117"
796,"Photography","Photograph of Marcel Duchamp, George Koltanowski, Alfred Barr, Jr., and Xanti Schawinsky during the blindfold chess event","Duchamp Archives","1944/-/-","https://www.duchamparchives.org/pma/archive/component/MDR_B014_F021_003"
797,"Photography","Photographie représentant Jacques Villon et Walter Pach en train de peindre en atelier le portrait de Magda Pach, Puteaux, vers 1947.","Duchamp Archives","1947/-/-","https://www.duchamparchives.org/cp/archive/component/FRM5050-X003175399"
798,"Photography","Photographie de la plaque commune des ateliers de Frantisek Kupka, Jacques Villon et Jacques Bon, Puteaux, vers 1955. Photographe : Ida Kar.","Duchamp Archives","1955/-/-","https://www.duchamparchives.org/cp/archive/component/FRM5050-X003175283"
799,"Photography","Photographie de groupe de la famille Duchamp, le 29 mai 1898.","Duchamp Archives","1898/May/29","https://www.duchamparchives.org/cp/archive/component/FRM5050-X0031117319"
800,"Photography","Photographie de Jacques Villon et sa femme Gaby en train de regarder une lithographie de l'artiste, Puteaux, 1950. Photographe : Gill-Pax.","Duchamp Archives","1950/-/-","https://www.duchamparchives.org/cp/archive/component/FRM5050-X003175391"
801,"Photography","Photographie de groupe réalisée peut-être à Blainville-Crevon, vers 1895.","Duchamp Archives","1895/-/-","https://www.duchamparchives.org/cp/archive/component/FRM5050-X0031117317"
802,"Photography","List of photographs sent to Mr. Kimball from the Arensberg Collection","Duchamp Archives","1949/March/9","https://www.duchamparchives.org/pma/archive/component/FKR_B179_F030_031"
803,"Photography","Photographie de Lucie Duchamp (née Nicolle), sa soeur Ketty, Marcel Duchamp et Jacques Villon en extérieur, Blainville-Crevon, vers 1895.","Duchamp Archives","1895/-/-","https://www.duchamparchives.org/cp/archive/component/FRM5050-X0031121313"
804,"Others","Notes and transcript for James Johnson Sweeney's interview with Marcel Duchamp","Duchamp Archives","1945/-/-","https://www.duchamparchives.org/pma/archive/component/MDR_B014_F005_001"
805,"Others","Notes regarding ownership of Marcel Duchamp's artworks","Duchamp Archives","-/-/-","https://www.duchamparchives.org/pma/archive/component/WLA_B043_F025_001"
806,"Others","Notes about Marcel Duchamp and Joseph Cornell","Duchamp Archives","1974/-/-","https://www.duchamparchives.org/pma/archive/component/MDE_B002_F016_041"
807,"Others","Note from Kenneth Macgowan to Walter Arensberg","Duchamp Archives","1949/April/15","https://www.duchamparchives.org/pma/archive/component/WLA_B012_F012_012"
808,"Others","Note from Henri Marceau to Fiske Kimball","Duchamp Archives","1954/January/29","https://www.duchamparchives.org/pma/archive/component/FKR_B180_F012_009"
809,"Others","Note about loans of Marcel Duchamp works to Sidney Janis Gallery","Duchamp Archives","1959/-/-","https://www.duchamparchives.org/pma/archive/component/MAR_B044_F017_004"
810,"Others","Note about telephone conversation with Rene Lefebvre-Foinet","Duchamp Archives","1947/March/17","https://www.duchamparchives.org/pma/archive/component/WLA_B028_F019_003"
811,"Others","Note about Carl Van Vechten","Duchamp Archives","1954/-/-","https://www.duchamparchives.org/pma/archive/component/FKR_B181_F001_048"
812,"Others","Note about W. C. Williams","Duchamp Archives","-/-/-","https://www.duchamparchives.org/pma/archive/component/WLA_B020_F027_005"
813,"Others","Note adressé à Raymond Duchamp-Villon par Walter Pach, (1931).","Duchamp Archives","1931/-/-","https://www.duchamparchives.org/cp/archive/component/FRM5050-X0031143057"
814,"Others","Note from Mary G. Kane to Henri Marceau","Duchamp Archives","1961/March/20","https://www.duchamparchives.org/pma/archive/component/MAR_B067_F012_014"
815,"Others","Note from Evan H. Turner regarding Alexina Duchamp and Paul Matisse visit","Duchamp Archives","1970/February/23","https://www.duchamparchives.org/pma/archive/component/EDR_B001_F026_001"
816,"Others","Note from Kenneth Macgowan to Walter Arensberg","Duchamp Archives","1949/October/11","https://www.duchamparchives.org/pma/archive/component/WLA_B012_F012_009"
817,"Others","Note from Marcel Duchamp to Julien Levy","Duchamp Archives","-/-/-","https://www.duchamparchives.org/pma/archive/component/JLP_B011_F031_060"
818,"Others","Note from Henri Marceau to Fiske Kimball","Duchamp Archives","1954/January/29","https://www.duchamparchives.org/pma/archive/component/FKR_B180_F012_010"
